Iso3,Human Hazard,Infrastructure,Institutional,Natural Hazard,Socio-Economic Vulnerability,Vulnerable Groups,Cluster,0ClusterProb,1ClusterProb,2ClusterProb,3ClusterProb,4ClusterProb,5ClusterProb,6ClusterProb,7ClusterProb,8ClusterProb,9ClusterProb,10ClusterProb,11ClusterProb,12ClusterProb,13ClusterProb,14ClusterProb,15ClusterProb,16ClusterProb,17ClusterProb,18ClusterProb,19ClusterProb
BDI,6.3,7.3,6.3,3.8,7.0,6.2,11,0.12944192205272226,5.238458914082383e-07,5.9104640163812086e-08,1.802744595944957e-26,6.145844097766678e-08,0.003674713848246618,5.887178031433932e-08,5.177927735458553e-09,5.567341313255846e-08,4.2004081645624505e-10,5.1416913279911876e-08,0.8668823985131475,4.5581291122862374e-08,2.989744079156923e-08,3.305134297377267e-08,1.421703212490529e-08,2.6869728483747327e-08,3.8301203354873655e-17,7.894466403861217e-26,1.6271708025552609e-34
BEL,2.4,0.9,2.6,1.7,0.3,3.2,3,3.5269947014242366e-08,2.877155617925024e-13,2.509121180794317e-10,0.9999998097582802,2.75819536086869e-09,2.9566106558415224e-08,2.6404270030565457e-09,3.510023155361477e-08,2.496869289764634e-09,7.317811345525322e-08,2.305837114238857e-09,2.4276809447806405e-10,2.0439700260360966e-09,1.8749906447721236e-09,1.4818440184550938e-09,8.949510978293504e-10,1.3626846924943711e-10,1.7164426342034847e-18,3.537851953192772e-27,7.292056368981139e-36
BEN,2.0,7.6,5.9,2.8,6.7,3.0,5,5.1469975441251946e-08,1.5861311539465403e-11,1.2400815660157523e-08,2.410740385433776e-24,3.19390937253565e-10,0.9999986173204125,2.9902041572714837e-10,9.828872577131044e-14,2.826917739860593e-10,2.1774652582142553e-13,2.609759823991778e-10,1.2694180145020013e-06,2.3123160190664747e-10,4.774759401419969e-08,1.6747419524081576e-10,6.535555144201084e-11,8.703178327872389e-13,1.934863227234729e-19,3.988050349721868e-28,8.219984424803945e-37
BFA,3.9,8.0,4.7,3.6,6.8,4.5,5,1.0819702279537013e-07,7.846193003177619e-17,2.9067237481087215e-09,8.29694688484738e-31,2.364170435674685e-12,0.9920126994518895,2.2354121614788824e-12,1.0587642728181893e-11,2.1136685370626975e-12,9.870294049699629e-18,1.9517012315961306e-12,0.007986893074410509,1.72974482398556e-12,2.963333957652564e-07,1.2535583599368278e-12,1.4320640660676346e-11,1.2434160986446426e-15,1.4505624846755642e-21,2.9898321198558435e-30,6.162503304329629e-39
BGD,6.9,5.1,5.0,8.2,5.1,6.2,2,1.765064931545963e-05,7.883648771638082e-06,0.9907533711639953,9.795611726173257e-18,7.479359797376644e-12,1.0569495567569293e-09,7.2093748335329524e-12,0.009220094243025416,6.8177427502500036e-12,9.990539752683878e-07,6.296538306268862e-12,1.696773429368101e-16,5.581959497623557e-12,1.1404723921186746e-10,4.04760502448925e-12,4.657503111134464e-13,3.2021203943547023e-11,4.690774525051256e-21,9.668406904347369e-30,1.9928071914123384e-38
BGR,0.3,1.7,4.2,3.5,1.8,2.7,3,5.391366044987892e-07,9.36494695986283e-05,6.3267549656527e-06,0.9985055170182419,3.157819125595585e-06,0.00026907448863124707,3.0264959797667512e-06,3.150783197934001e-05,2.8619569679663898e-06,0.0007866017100937188,2.6430034009430903e-06,3.2122806554160905e-06,2.34285868622833e-06,0.00028334047795524074,1.6985540697285545e-06,4.108957915302233e-06,3.9118512647539623e-07,1.967524767540701e-15,4.0553708018499474e-24,8.358742218572122e-33
BHR,0.2,1.3,4.7,0.9,1.3,0.9,3,2.161479975413535e-08,9.280612796647079e-12,1.4047980086032714e-11,0.9998513836597146,2.6459283948231847e-10,0.0001330672831165585,2.5167386031820656e-10,1.547438800732069e-05,2.379586675293199e-10,5.0817729261297205e-08,2.1971355949768462e-10,3.582181142895276e-14,1.9471373281262596e-10,1.2142158567024822e-12,1.4109017675808888e-10,1.1814485037961845e-10,7.84165892791737e-10,1.6320124939356197e-19,3.3638284637314484e-28,6.9333672232883095e-37
BHS,0.0,2.6,3.7,3.5,2.1,1.4,3,4.484031623394014e-05,0.0005391084336042881,1.0126554872929381e-06,0.9967422068991632,1.3487425294234528e-05,0.0015833929711137461,1.2861127696912151e-05,0.00023393147850947715,1.2161007241024508e-05,0.000271520533600412,1.1229512965888085e-05,3.0696545852522345e-06,9.952909157052533e-06,0.0004873308209090375,7.213669517461806e-06,1.3867008081657286e-05,1.2813576831186894e-05,8.349538649720953e-15,1.7209681833530193e-23,3.5471798052227303e-32
BIH,1.6,2.5,6.1,4.1,2.6,4.6,3,2.4283711741317594e-07,1.8660164043814442e-07,2.712948054803206e-05,0.9537865603395808,6.73562510133016e-09,0.036734043537687285,6.4791221824546345e-09,0.008447229362446974,6.127265479564192e-09,0.000122961799494611,5.658977302588711e-09,4.956765505876596e-05,5.0169123073971616e-09,0.0008320152952322323,3.638123338091476e-09,2.459400232478837e-08,4.841165833572809e-09,4.2169803183430924e-18,8.691844258902745e-27,1.7915226279925213e-35
BLR,1.9,1.3,4.3,2.3,1.2,1.2,3,1.061204348712919e-06,3.071810382945199e-08,1.16504386182759e-09,0.9980093788494152,1.1640131753700147e-07,0.0003688046890268462,1.1167420606235095e-07,0.0015672581344886314,1.05602787307784e-07,5.166470135097142e-05,9.752351498599241e-08,1.0269240517257315e-08,8.64483696632193e-08,3.839592404570518e-08,6.267409891669919e-08,6.952448289767838e-08,1.1020242798302802e-06,7.2597797621764e-17,1.4963521354900495e-25,3.0842116245117485e-34
